"Accounts","Cuentas"
"Active","Activo"
"Additional Bank Account","Cuenta Bancaria Adicional"
"Bank Search","Búsqueda de banco"
"Bank/Card Name","Nombre del banco/tarjeta"
"Company Bank Account","Cuenta bancaria de la empresa"
"Company Name","Nombre de empresa"
"Country List","Lista de países"
"Default Bank Account","Cuenta bancaria predeterminada"
"Email Settings","Ajustes del correo electrónico"
"Enabled","Activado"
"Extra Settings","Configuraciones adicionales"
"Invoice After Payment","Factura después del pago"
"List of Payments","Lista de Pagos"
"New Order After Payment","Nuevo pedido después del pago"
"New Order Before Payment","Nuevo pedido antes del pago"
"New Order Status","Estado del nuevo pedido"
"Order","Pedido"
"Payment from Applicable Countries","Pago desde países aplicables"
"Payment initiation was cancelled. Please try again.","Se canceló el inicio del pago. Inténtalo de nuevo."
"Payment List Manual Update","Actualización manual de lista de pagos"
"Payment methods","Métodos de pago"
"Please agree with kevin payment terms.","Por favor, acepta las condiciones de pago de kevin."
"Please select payment method.","Seleccione el método de pago."
"Redirect Preferred","Redireccionamiento preferido"
"Search for a bank...","Busca un banco..."
"Select bank country","Seleccione el país del banco"
"Send invoice email after payment","Enviar factura por correo electrónico después del pago"
"Send order confirmation email after payment","Enviar correo electrónico de confirmación del pedido después del pago"
"Send order confirmation email before payment","Enviar correo electrónico de confirmación del pedido antes del pago"
"Show all available payment methods separately in checkout","Mostrar todos los métodos de pago disponibles por separado en el proceso de pago"
"Show country list on checkout page","Mostrar la lista de países en la página de pago"
"Show name below the payment logo","Mostrar el nombre debajo del logo de pago"
"Show payment method search on checkout page","Mostrar búsqueda de método de pago en la página de pago"
"Something went wrong, please try again later","Algo salió mal, inténtalo de nuevo más tarde"
"Sort Order","Orden de clasificación"
"Status","Estado"
"Thank you for your payment. Your transaction has been completed and a receipt for your purchase has been emailed to you.","Gracias por tu pago. Su transacción se ha completado y se le ha enviado un recibo de su compra por correo electrónico."
"Title","Título"
"Tpp can specify this param to skip all possible kevin. parts and make user payment confirm flow mostly on the bank side.","TPP puede especificar este parámetro para omitir todos los kevin posibles. pantallas y hacer que el pago del usuario confirme el flujo principalmente en el lado del banco."
"Unauthorized","No autorizado"
"Unfortunately, your order cannot be processed as the originating bank has declined your transaction. Please attempt your purchase again.","Lamentablemente, su pedido no se puede procesar porque el banco de origen rechazó su transacción. Por favor intente su compra nuevamente."
"Version","Versión"
"We will start executing the order only after receiving the payment.","Comenzaremos a ejecutar el pedido solo después de recibir el pago."
"Wrong payment request","Solicitud de pago incorrecta"
"Your Endpoint Secret. You can get it in kevin. dashboard.","Su Endpoint Secret de kevin. panel."
"Country","País"
"Bank","Banco"
"Bank Account","Cuenta bancaria"
"Action","Acción"
"Update Now","Actualizar ahora"
"Last Update","Última actualización"
"Updated","Actualizado"
"Credit/Debit card","Tarjeta de crédito/débito"
"Please select a payment method.","Por favor seleccione un método de pago."
"I have read and agree with the <a href=""%1"" target=""_blank"">payment terms</a> and <a href=""%2"" target=""_blank"">privacy policy</a> of Kevin EU, UAB","He leído y acepto las <a href=""%1"" target=""_blank""> condiciones de pago </a> y <a href=""%2"" target=""_blank""> política de privacidad </a> de kevin EU, UAB"
"Add","Agregar"
