"Accounts","Conti"
"Active","Attivo"
"Additional Bank Account","Conto bancario aggiuntivo"
"Bank Search","Ricerca in banca"
"Bank/Card Name","Nome della Banca/Carta"
"Company Bank Account","Conto bancario dell'azienda"
"Company Name","Nome dell'azienda"
"Country List","Elenco dei paesi"
"Default Bank Account","Conto bancario predefinito"
"Email Settings","Impostazioni e-mail"
"Enabled","Abilitato"
"Extra Settings","Impostazioni extra"
"I have read and agree with the payment terms and privacy policy of kevin EU, UAB","Ho letto e sono d'accordo con i termini di pagamento e l'informativa sulla privacy di kevin EU, UAB"
"Invoice After Payment","Fattura dopo il pagamento"
"List of Payments","Elenco dei pagamenti"
"New Order After Payment","Nuovo ordine dopo il pagamento"
"New Order Before Payment","Nuovo ordine prima del pagamento"
"New Order Status","Stato del nuovo ordine"
"Order","Ordina"
"Payment from Applicable Countries","Pagamento dai paesi applicabili"
"Payment initiation was cancelled. Please try again.","L'avvio del pagamento è stato annullato. Si prega di riprovare."
"Payment List Manual Update","Aggiornamento manuale dell'elenco dei pagamenti"
"Payment methods","Metodi di pagamento"
"Please agree with kevin payment terms.","Si prega di concordare con kevin i termini di pagamento."
"Please select payment method.","Si prega di selezionare il metodo di pagamento."
"Redirect Preferred","Reindirizzamento preferito"
"Search for a bank...","Cerca una banca..."
"Select bank country","Seleziona il paese della banca"
"Send invoice email after payment","Inviare e-mail di fattura dopo il pagamento"
"Send order confirmation email after payment","Inviare e-mail di conferma dell'ordine dopo il pagamento"
"Send order confirmation email before payment","Inviare email di conferma dell'ordine prima del pagamento"
"Show all available payment methods separately in checkout","Mostra tutti i metodi di pagamento disponibili separatamente nel checkout"
"Show country list on checkout page","Mostra l'elenco dei paesi nella pagina di checkout"
"Show name below the payment logo","Mostra il nome sotto il logo del pagamento"
"Show payment method search on checkout page","Mostra la ricerca del metodo di pagamento nella pagina di checkout"
"Something went wrong, please try again later","Qualcosa è andato storto, per favore riprova più tardi"
"Sort Order","Ordinamento"
"Status","Stato"
"Thank you for your payment. Your transaction has been completed and a receipt for your purchase has been emailed to you.","Grazie per il vostro pagamento. La tua transazione è stata completata e una ricevuta per il tuo acquisto ti è stata inviata per email."
"Title","Titolo"
"Tpp can specify this param to skip all possible kevin. parts and make user payment confirm flow mostly on the bank side.","Il Tpp può specificare questo parametro per saltare tutte le possibili parti di kevin. e far sì che il pagamento dell'utente confermi il flusso principalmente sul lato della banca."
"Unauthorized","Non autorizzato"
"Unfortunately, your order cannot be processed as the originating bank has declined your transaction. Please attempt your purchase again.","Sfortunatamente, il suo ordine non può essere processato perché la banca d'origine ha rifiutato la sua transazione. La preghiamo di tentare nuovamente l'acquisto."
"Version","Versione"
"We will start executing the order only after receiving the payment.","Inizieremo ad eseguire l'ordine solo dopo aver ricevuto il pagamento."
"Wrong payment request","Richiesta di pagamento errata"
"Your Endpoint secret. You can get it in kevin. dashboard.","Il tuo segreto Endpoint. Puoi ottenerlo in kevin. dashboard."
