"Accounts","Konta"
"Active","Aktywny"
"Additional Bank Account","Dodatkowe konto bankowe"
"Bank Search","Wyszukiwanie banku"
"Bank/Card Name","Nazwa banku/karty"
"Company Bank Account","Firmowe konto bankowe"
"Company Name","Nazwa firmy"
"Country List","Lista krajów"
"Default Bank Account","Domyślne konto bankowe"
"Email Settings","Ustawienia poczty e-mail"
"Enabled","Włączony"
"Extra Settings","Dodatkowe ustawienia"
"Invoice After Payment","Faktura po dokonaniu płatności"
"List of Payments","Lista płatności"
"New Order After Payment","Nowe zamówienie po dokonaniu płatności"
"New Order Before Payment","Nowe zamówienie przed płatnością"
"New Order Status","Nowy status zamówienia"
"Order","Zamówienie"
"Payment from Applicable Countries","Płatność z odpowiednich krajów"
"Payment initiation was cancelled. Please try again.","Inicjacja płatności została anulowana. Proszę spróbuj ponownie."
"Payment List Manual Update","Ręczna aktualizacja listy płatności"
"Payment methods","Metody Płatności"
"Please agree with kevin payment terms.","Zaakceptuj warunki płatności kevin."
"Please select payment method.","Wybierz metodę płatności."
"Redirect Preferred","Preferowane przekierowanie"
"Search for a bank...","Wyszukaj bank..."
"Select bank country","Wybierz kraj banku"
"Send invoice email after payment","Wyślij e-mail z fakturą po dokonaniu płatności"
"Send order confirmation email after payment","Wyślij e-mail z potwierdzeniem zamówienia po dokonaniu płatności"
"Send order confirmation email before payment","Wyślij e-mail z potwierdzeniem zamówienia przed dokonaniem płatności"
"Show all available payment methods separately in checkout","Pokaż wszystkie dostępne metody płatności osobno w kasie"
"Show country list on checkout page","Pokaż listę krajów na stronie kasy"
"Show name below the payment logo","Pokaż nazwę pod logo płatności"
"Show payment method search on checkout page","Pokaż wyszukiwanie metody płatności na stronie kasy"
"Something went wrong, please try again later","Coś poszło nie tak. Proszę spróbować później"
"Sort Order","Sortuj porządek"
"Status","Status"
"Thank you for your payment. Your transaction has been completed and a receipt for your purchase has been emailed to you.","Dziękujemy za dokonanie płatności. Twoja transakcja została zakończona, a potwierdzenie zakupu zostało wysłane do Ciebie e-mailem."
"Title","Tytuł"
"Tpp can specify this param to skip all possible kevin. parts and make user payment confirm flow mostly on the bank side.","TPP może określić ten parametr, aby pominąć wszystkie możliwe kevin. ekrany i sprawiają, że płatność użytkownika potwierdza przepływ głównie po stronie banku."
"Unauthorized","Nieautoryzowany"
"Unfortunately, your order cannot be processed as the originating bank has declined your transaction. Please attempt your purchase again.","Niestety, Twoje zamówienie nie może zostać przetworzone, ponieważ bank, z którego pochodzisz, odrzucił Twoją transakcję. Spróbuj ponownie dokonać zakupu."
"Version","Wersja"
"We will start executing the order only after receiving the payment.","Realizację zamówienia rozpoczniemy dopiero po otrzymaniu wpłaty."
"Wrong payment request","Niewłaściwa prośba o płatność"
"Your Endpoint Secret. You can get it in kevin. dashboard.","Twój Endpoint Secret z pulpitu nawigacyjnego kevin."
"Country","Kraj"
"Bank","Bank"
"Bank Account","Konto bankowe"
"Action","Działanie"
"Update Now","Aktualizuj teraz"
"Last Update","Ostatnia aktualizacja"
"Updated","Zaktualizowano"
"Credit/Debit card","Karta kredytowa/debetowa"
"Please select a payment method.","Zaznacz metodę płatności."
"I have read and agree with the <a href=""%1"" target=""_blank"">payment terms</a> and <a href=""%2"" target=""_blank"">privacy policy</a> of Kevin EU, UAB","Znam i akceptuję <a href=""%1"" target=""_blank""> warunki płatności </a> i <a href=""%2"" target=""_blank""> politykę prywatności </a> kevin EU, UAB"
"Add","Dodać"
