"Accounts","Contas"
"Active","Ativo"
"Additional Bank Account","Conta Bancária Adicional"
"Bank Search","Pesquisa de banco"
"Bank/Card Name","Nome do banco/cartão"
"Company Bank Account","Conta Bancária da Empresa"
"Company Name","Nome da empresa"
"Country List","Lista de países"
"Default Bank Account","Conta bancária padrão"
"Email Settings","Configurações de e-mail"
"Enabled","Habilitado"
"Extra Settings","Configurações extras"
"Invoice After Payment","Fatura após pagamento"
"List of Payments","Lista de pagamentos"
"New Order After Payment","Novo pedido após o pagamento"
"New Order Before Payment","Novo pedido antes do pagamento"
"New Order Status","Estado do novo pedido"
"Order","Pedido"
"Payment from Applicable Countries","Pagamento dos países aplicáveis"
"Payment initiation was cancelled. Please try again.","O início do pagamento foi cancelado. Por favor, tente novamente."
"Payment List Manual Update","Atualização manual da lista de pagamentos"
"Payment methods","Métodos de Pagamento"
"Please agree with kevin payment terms.","Por favor, concorde com os termos de pagamento kevin."
"Please select payment method.","Por favor, selecione a forma de pagamento."
"Redirect Preferred","Redirecionar preferencial"
"Search for a bank...","Procure um banco…"
"Select bank country","Selecione o país do banco"
"Send invoice email after payment","Enviar fatura por e-mail após o pagamento"
"Send order confirmation email after payment","Enviar e-mail de confirmação do pedido após o pagamento"
"Send order confirmation email before payment","Enviar e-mail de confirmação do pedido antes do pagamento"
"Show all available payment methods separately in checkout","Mostrar todos os métodos de pagamento disponíveis separadamente na finalização da compra"
"Show country list on checkout page","Mostrar lista de países na página de checkout"
"Show name below the payment logo","Mostrar nome abaixo do logotipo de pagamento"
"Show payment method search on checkout page","Mostrar pesquisa de forma de pagamento na página de checkout"
"Something went wrong, please try again later","Algo deu errado, tente novamente mais tarde"
"Sort Order","Ordem de classificação"
"Status","Status"
"Thank you for your payment. Your transaction has been completed and a receipt for your purchase has been emailed to you.","Obrigado por seu pagamento. Sua transação foi concluída e um recibo de sua compra foi enviado para você."
"Title","Título"
"Tpp can specify this param to skip all possible kevin. parts and make user payment confirm flow mostly on the bank side.","O TPP pode especificar este parâmetro para pular todos os kevin possíveis. telas e fazer o pagamento do usuário confirmar o fluxo principalmente no lado do banco."
"Unauthorized","Não autorizado"
"Unfortunately, your order cannot be processed as the originating bank has declined your transaction. Please attempt your purchase again.","Infelizmente, seu pedido não pode ser processado, pois o banco de origem recusou sua transação. Por favor, tente sua compra novamente."
"Version","Versão"
"We will start executing the order only after receiving the payment.","Começaremos a executar o pedido somente após o recebimento do pagamento."
"Wrong payment request","Solicitação de pagamento errada"
"Your Endpoint Secret. You can get it in kevin. dashboard.","Seu Endpoint Secret de kevin. painel de controle."
"Country","País"
"Bank","Banco"
"Bank Account","Conta bancária"
"Action","Ação"
"Update Now","Atualizar agora"
"Last Update","Última atualização"
"Updated","Atualizada"
"Credit/Debit card","Cartão de Crédito/Débito"
"Please select a payment method.","Selecione uma forma de pagamento."
"I have read and agree with the <a href=""%1"" target=""_blank"">payment terms</a> and <a href=""%2"" target=""_blank"">privacy policy</a> of Kevin EU, UAB","Li e concordo com os <a href=""%1"" target=""_blank""> termos de pagamento </a> e <a href=""%2"" target=""_blank""> política de privacidade </a> de kevin EU, UAB"
"Add","Adicionar"
